dim_farm_id,dim_source,dim_load_date,farm_name,farmtype,totalareainha,firstyearofcertification,on_sitehousing,createdon,updatedon,is_certification_scope
0289AFB1A680049523FCD72294FEDBDF,RACP,09/09/22 12:23:00,Farm 686247,Smallholder,4,0,No,04/21/22 08:01:00,01/11/22 22:01:00,FALSE
028F0B4B22CE211327F8806DFE77D1A3,RACP,09/09/22 12:23:00,Farm 339875,Smallholder,21,2011,No,04/21/22 08:01:00,07/18/22 19:35:00,TRUE
0298F1B8A6995F866395A274F012AA0D,RACP,09/09/22 12:23:00,Farm 171885,Large,1136,2017,No,04/21/22 08:02:00,05/03/22 11:12:00,TRUE
02A85B860D4E0FF0BDB0DD6981BDAFA4,RACP,09/09/22 12:23:00,Farm 647177,Smallholder,100,2021,No,04/21/22 08:01:00,04/13/22 06:03:00,FALSE
02AC0F4F578B9320286A7561FA08287A,RACP,09/09/22 12:23:00,Farm 080276,Smallholder,19,2021,No,04/21/22 08:01:00,04/20/22 03:37:00,FALSE
02BAA118C704FD48CD4308BAEA3AB2E9,RACP,09/09/22 12:23:00,Farm 620501,Large,483,2011,No,04/21/22 08:02:00,10/23/21 01:18:00,TRUE
02C0BECA1AF6C53D7CDC5330BF915D86,RACP,09/09/22 12:23:00,Farm 681450,Smallholder,9,0,No,04/21/22 08:01:00,01/11/22 22:02:00,FALSE
02C0EDD0A5998653083B71878FA96704,RACP,09/09/22 12:23:00,Farm 365317,Large,,0,,06/28/22 16:39:00,01/01/00 00:00:00,TRUE
02D892201C0DC4E79285AEEFDDC76EE9,RACP,09/09/22 12:23:00,Farm 236542,Large,70,0,,09/03/22 08:27:00,09/03/22 09:00:00,TRUE
02DC61177E6214746FEA5DC2A477946A,RACP,09/09/22 12:23:00,Farm 933613,Large,300,0,No,04/21/22 08:02:00,07/08/22 06:59:00,TRUE
02DD1147E7755B9CB4A8AF80E56978E7,RACP,09/09/22 12:23:00,Farm 775782,Smallholder,50,2021,No,04/21/22 08:01:00,04/16/22 02:34:00,FALSE
02DEC135CED3600492D20EF1A87B6C7B,RACP,09/09/22 12:23:00,Farm 771345,Large,,0,,06/28/22 16:39:00,01/01/00 00:00:00,TRUE
02F05233D789720B4F441C2D0D9ADA1B,RACP,09/09/22 12:23:00,Farm 895076,Large,185,0,,07/14/22 19:59:00,07/15/22 15:27:00,TRUE
02FC9A3B1B2AC75DADCA70DD1E17C7F3,RACP,09/09/22 12:23:00,Farm 065780,Large,,0,,08/12/22 12:17:00,01/01/00 00:00:00,TRUE
02FC9F8D9CCB1D8B5BFF6618BF2C40AA,RACP,09/09/22 12:23:00,Farm 655941,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
02FFB24ECC1795377AD6515B68A5959F,RACP,09/09/22 12:23:00,Farm 005248,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
03049916AA34FD67191EE88EEC82B9EE,RACP,09/09/22 12:23:00,Farm 552687,Large,326,2018,,08/19/22 04:53:00,09/08/22 05:03:00,TRUE
03062D63B702D5A3A499725764B92B86,RACP,09/09/22 12:23:00,Farm 942783,Smallholder,5,0,Yes,04/21/22 08:02:00,07/21/21 18:20:00,TRUE
031695DF44D19E8ABADD1350BBA0557F,RACP,09/09/22 12:23:00,Farm 567947,Large,49,0,,07/14/22 15:36:00,07/15/22 15:27:00,TRUE
031E611A2849338EBB47A5156E803E8A,RACP,09/09/22 12:23:00,Farm 694373,Smallholder,6,0,No,04/21/22 08:01:00,01/11/22 17:55:00,FALSE
032CAF0AC085E12A383E08AFA87C7B0A,RACP,09/09/22 12:23:00,Farm 182959,Smallholder,4,2021,No,04/21/22 08:01:00,04/14/22 20:49:00,FALSE
033C92BF7DD549FBC4F8A60BC2E8343C,RACP,09/09/22 12:23:00,Farm 419764,Smallholder,3,0,No,04/21/22 08:01:00,02/26/22 07:27:00,TRUE
03432A925270C877068A8A6DAE34D6F5,RACP,09/09/22 12:23:00,Farm 796025,Large,,0,,07/11/22 11:57:00,01/01/00 00:00:00,TRUE
0344619332BC46447D608AFAEF5B94A5,RACP,09/09/22 12:23:00,Farm 568801,Large,,0,,07/11/22 11:57:00,01/01/00 00:00:00,TRUE
0348AF045525E6C947A2D46085BCE5A1,RACP,09/09/22 12:23:00,Farm 583076,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
036A8428826D04BD93EFB740FB87E325,RACP,09/09/22 12:23:00,Farm 671710,Large,433,0,Yes,04/21/22 08:02:00,09/03/22 05:16:00,TRUE
03762BF1CF3084CDBFF7D00EBF545A1F,RACP,09/09/22 12:23:00,Farm 506731,Large,568,0,,06/10/22 12:59:00,08/15/22 18:35:00,TRUE
0382F8A46467A124DC319F6E72C81668,RACP,09/09/22 12:23:00,Farm 309179,Large,262,0,No,04/21/22 08:01:00,01/24/22 09:51:00,TRUE
03953494C74ADDAA7D1AC520EBB37238,RACP,09/09/22 12:23:00,Farm 520887,Large,179,0,No,04/21/22 08:02:00,07/08/22 06:59:00,TRUE
03A88754C799EABD7636B90B7C481B70,RACP,09/09/22 12:23:00,Farm 763250,Smallholder,38,2021,No,04/21/22 08:01:00,04/18/22 03:17:00,FALSE
03C2F478A029A5EAA740E2CA1F38C52D,RACP,09/09/22 12:23:00,Farm 107618,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
03D31C42F6C3764F8DC20DFB49AAE0F7,RACP,09/09/22 12:23:00,Farm 926100,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
03D77CFF19095B9E1A55DD2C00E6D5A0,RACP,09/09/22 12:23:00,Farm 746232,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
03EFD8F9FB3C66C5CA5E4D4FA60DB7CF,RACP,09/09/22 12:23:00,Farm 755970,Large,12,0,,05/15/22 17:27:00,01/01/00 00:00:00,TRUE
03F2F0BEE90B06B80FDA53602A5291EA,RACP,09/09/22 12:23:00,Farm 021322,Large,9,0,Yes,04/21/22 08:01:00,08/10/22 07:48:00,TRUE
040E71B9DD8F94536D6367552E2749F1,RACP,09/09/22 12:23:00,Farm 621960,Large,530,2017,Yes,04/21/22 08:02:00,09/03/22 05:16:00,TRUE
040FF7B594EF613868D95D710BD04053,RACP,09/09/22 12:23:00,Farm 737302,Smallholder,100,2021,No,04/21/22 08:01:00,04/19/22 04:55:00,FALSE
041B278E0F4CDC9D0C15B81A9B1A86EF,RACP,09/09/22 12:23:00,Farm 098889,Large,,0,,08/12/22 12:17:00,01/01/00 00:00:00,TRUE
041B36D8A9BF831743812F2844CCACCF,RACP,09/09/22 12:23:00,Farm 956919,Smallholder,25,2021,No,04/21/22 08:01:00,04/20/22 04:40:00,FALSE
0441A185466E9C03F93E67B9F8BB21EE,RACP,09/09/22 12:23:00,Farm 926356,Large,,0,,08/12/22 12:17:00,01/01/00 00:00:00,TRUE
0443760E23313924F5F5961478B596EC,RACP,09/09/22 12:23:00,Farm 300221,Large,63,0,,09/06/22 12:47:00,09/03/22 09:00:00,TRUE
044CAE9F1B91052BC11865A14DCDB33D,RACP,09/09/22 12:23:00,Farm 873916,Large,,0,,07/11/22 11:57:00,01/01/00 00:00:00,TRUE
044DB9FE207F8007F88368813593F69F,RACP,09/09/22 12:23:00,Farm 476496,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
044E2F06E642C6BB2F8B76BB45745A0D,RACP,09/09/22 12:23:00,Farm 358999,Smallholder,3,0,No,04/21/22 08:01:00,01/10/22 22:39:00,FALSE
045A9FD53BF0AA47001CC2145EF611A5,RACP,09/09/22 12:23:00,Farm 559746,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
045B9F5FEB518A336D2C2F77883CF018,RACP,09/09/22 12:23:00,Farm 864812,Smallholder,69,2021,No,04/21/22 08:01:00,04/08/22 03:23:00,FALSE
0473D4873CB3990F4EACE9E59245C8FF,RACP,09/09/22 12:23:00,Farm 558229,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
047840935CEC18639B3A7A98F1B7BCF3,RACP,09/09/22 12:23:00,Farm 687931,Large,,0,,08/12/22 12:17:00,01/01/00 00:00:00,TRUE
0487DB4D373629CCC9E890C08389E999,RACP,09/09/22 12:23:00,Farm 271283,Smallholder,4,2014,No,04/21/22 08:02:00,10/12/21 09:44:00,TRUE
048AA18E921D91DB9A1106A43895B7D0,RACP,09/09/22 12:23:00,Farm 661221,Large,90,0,,06/06/22 13:22:00,08/12/22 09:38:00,TRUE
049264D6B81F750BA1D312F3B503EEC5,RACP,09/09/22 12:23:00,Farm 529991,Smallholder,75,2021,No,04/21/22 08:01:00,04/12/22 03:54:00,FALSE
04B1F9CBD200B3A31089816F82CE2BE5,RACP,09/09/22 12:23:00,Farm 650340,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
04B51D55BE5404AF51DD90117B6259F2,RACP,09/09/22 12:23:00,Farm 060379,Large,,0,,08/12/22 12:17:00,01/01/00 00:00:00,TRUE
04B8614956B63FB2A6EBF7DA14CE0E19,RACP,09/09/22 12:23:00,Farm 323946,Large,,0,,07/11/22 11:57:00,01/01/00 00:00:00,TRUE
04BB3AB07515138B4E82F1D11B2C6518,RACP,09/09/22 12:23:00,Farm 389535,Large,,0,,08/12/22 12:17:00,01/01/00 00:00:00,TRUE
04C5F9B8DFEE4F3C88E207801CAB3EC5,RACP,09/09/22 12:23:00,Farm 072319,Large,315,0,,09/01/22 04:18:00,09/14/21 19:33:00,TRUE
04CBB8E93592C20A203B53F0DFA75118,RACP,09/09/22 12:23:00,Farm 591428,Smallholder,38,2021,No,04/21/22 08:01:00,04/07/22 03:08:00,FALSE
04CE5B59CE09369E5EC712D41FA1D0E3,RACP,09/09/22 12:23:00,Farm 248595,Smallholder,2,0,No,04/21/22 08:01:00,02/20/22 22:40:00,FALSE
050291B92043E9E60DF6F2B81CA4FD16,RACP,09/09/22 12:23:00,Farm 705843,Large,1340,0,Yes,04/21/22 08:02:00,04/26/22 04:51:00,TRUE
0505CB2E75F7BFD3E6946DBBC9614437,RACP,09/09/22 12:23:00,Farm 874726,Smallholder,1,0,No,04/21/22 08:01:00,02/20/22 22:50:00,FALSE
0512C86F46EA7DC91038878A1A7465C5,RACP,09/09/22 12:23:00,Farm 947840,Large,,0,,06/28/22 16:39:00,06/28/22 17:41:00,TRUE
051FE0CC4528472DEC7BB5934A89CC14,RACP,09/09/22 12:23:00,Farm 469966,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
0523C0752BC32D5206B48C7051DEF740,RACP,09/09/22 12:23:00,Farm 320368,Large,575,0,,06/14/22 18:28:00,06/28/22 12:41:00,TRUE
05284C28088CA57D56BFFEBBDC8C07A8,RACP,09/09/22 12:23:00,Farm 204544,Smallholder,50,2021,No,04/21/22 08:01:00,04/07/22 04:53:00,FALSE
0541256EC2D2837E1AB98666EDFD510F,RACP,09/09/22 12:23:00,Farm 243623,Large,,0,,07/11/22 11:57:00,07/11/22 12:15:00,TRUE
0543D38DFD15F8887035281B13F95430,RACP,09/09/22 12:23:00,Farm 459998,Large,595,0,Yes,04/21/22 08:02:00,03/01/22 10:54:00,TRUE
05498D86F697D2539755DE286DA65131,RACP,09/09/22 12:23:00,Farm 903465,Large,,0,,07/11/22 11:57:00,01/01/00 00:00:00,TRUE
0573DEB05DFE3CFD31500E9D9D03ADE8,RACP,09/09/22 12:23:00,Farm 005248,Large,,0,,07/11/22 11:57:00,07/11/22 12:15:00,TRUE
057D37304CC9B5187BE32E0FC3D92C9E,RACP,09/09/22 12:23:00,Farm 987487,Large,172,0,,07/14/22 15:20:00,07/15/22 15:27:00,TRUE
058693E4FCF2B4454A544953429E72F4,RACP,09/09/22 12:23:00,Farm 062337,Smallholder,88,2021,No,04/21/22 08:01:00,04/20/22 03:20:00,FALSE
058BBA94950FC79C7F6F3646939FF068,RACP,09/09/22 12:23:00,Farm 990827,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
05B0B2EE110269445BFD1FA902F0166B,RACP,09/09/22 12:23:00,Farm 558229,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
05C21138D43FCEFDCCF635FEF2BAD29F,RACP,09/09/22 12:23:00,Farm 632642,Large,102,2019,,04/24/22 07:06:00,09/09/22 00:30:00,TRUE
05CD7661C7F519D194B83D89189BA6AC,RACP,09/09/22 12:23:00,Farm 290178,Smallholder,50,2021,No,04/21/22 08:01:00,04/19/22 13:40:00,FALSE
05CDD96CAFFEF7B8AA067AAB4EDEDCA5,RACP,09/09/22 12:23:00,Farm 242081,Smallholder,2,0,,08/23/22 07:05:00,09/02/22 09:27:00,TRUE
05CF8C0E0F2854BBD4A98A31F9D6B00C,RACP,09/09/22 12:23:00,Farm 102648,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
05D040129493BD8E33CC7D8CD0BD15E7,RACP,09/09/22 12:23:00,Farm 259060,Smallholder,25,2021,No,04/21/22 08:01:00,04/20/22 04:10:00,FALSE
05E1E15072B73D454FE6FF8A1D2AB7D2,RACP,09/09/22 12:23:00,Farm 466586,Large,455,2008,Yes,04/21/22 08:02:00,05/26/22 08:07:00,TRUE
05FE720F22FB44C5B1D12D50F1542915,RACP,09/09/22 12:23:00,Farm 968002,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
05FEFC48641324298E48988E0D7B82FB,RACP,09/09/22 12:23:00,Farm 016895,Large,,0,,08/12/22 12:17:00,01/01/00 00:00:00,TRUE
060045D31C398E6A2DFE8450956909FE,RACP,09/09/22 12:23:00,Farm 758976,Large,95,0,,09/06/22 12:47:00,09/03/22 09:00:00,TRUE
0618D39B50AABD9FA4E2BEB860E8FA0A,RACP,09/09/22 12:23:00,Farm 320128,Large,207,0,,06/19/22 08:03:00,03/10/22 03:24:00,TRUE
061933645AEB9F5CDED7E0120E8CB9C9,RACP,09/09/22 12:23:00,Farm 317206,Smallholder,50,2021,No,04/21/22 08:01:00,04/12/22 07:17:00,FALSE
061BD1B1B27E39EC5B7260B9C0FCF2B1,RACP,09/09/22 12:23:00,Farm 655961,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
062D0875A8FE8BFF8DDFA9AF195B8669,RACP,09/09/22 12:23:00,Farm 533442,Smallholder,4,0,No,04/21/22 08:02:00,12/10/21 11:52:00,TRUE
0635747933EB7E92A6C1D77334BAE948,RACP,09/09/22 12:23:00,Farm 911211,Large,,0,,06/28/22 16:39:00,01/01/00 00:00:00,TRUE
063D1CCF898648208191263FBA97774A,RACP,09/09/22 12:23:00,Farm 551657,Large,448,2012,,08/24/22 05:52:00,08/01/22 21:07:00,TRUE
065152D6FE5AE47CA3511A785CDDA54B,RACP,09/09/22 12:23:00,Farm 540081,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
06543D138BD51CE7C27F870FA2013CB1,RACP,09/09/22 12:23:00,Farm 946876,Smallholder,50,2021,No,04/21/22 08:01:00,04/12/22 12:49:00,FALSE
065F3B4EB80A9999375B7FDD40E9098A,RACP,09/09/22 12:23:00,Farm 538809,Large,180,0,,07/28/22 21:10:00,01/20/22 14:47:00,TRUE
066041633EDB3C6929C980891DDB7DDD,RACP,09/09/22 12:23:00,Farm 174069,Smallholder,80,0,,05/18/22 09:41:00,05/18/22 11:46:00,TRUE
06813B951103F00839E494AA7A1C80BE,RACP,09/09/22 12:23:00,Farm 294165,Large,,0,,06/28/22 16:39:00,01/01/00 00:00:00,TRUE
0683ECB1EFDCE6BFEE418612F239DE2B,RACP,09/09/22 12:23:00,Farm 612903,Large,,0,,07/11/22 11:57:00,07/11/22 12:15:00,TRUE
06A719FA08BBC152536A2654F232ECC6,RACP,09/09/22 12:23:00,Farm 236542,Large,70,0,,09/06/22 12:48:00,09/03/22 09:00:00,TRUE
06C00632B9A69D78791E043B549145AD,RACP,09/09/22 12:23:00,Farm 956995,Large,491,2018,,08/19/22 04:53:00,09/08/22 05:03:00,TRUE
06C533CDF54A1ECBC439D915A33CF33A,RACP,09/09/22 12:23:00,Farm 501713,Smallholder,7,0,No,04/21/22 08:01:00,03/02/22 21:11:00,FALSE
06DE2A4586E3563E017E96BF421FE2EB,RACP,09/09/22 12:23:00,Farm 897775,Smallholder,50,2021,No,04/21/22 08:01:00,04/12/22 05:06:00,FALSE
06E3AC050954ABBC218B993B8DC975E8,RACP,09/09/22 12:23:00,Farm 967613,Large,20,0,,08/25/22 16:29:00,08/25/22 16:42:00,TRUE
06E4F9F0FD5D2A19F73EA0EA98662C83,RACP,09/09/22 12:23:00,Farm 645853,Smallholder,1,0,,05/25/22 14:47:00,08/10/22 07:48:00,TRUE
06F460979465AA8EC80A932B9125A5DF,RACP,09/09/22 12:23:00,Farm 016898,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
06F924B99F92EFE78F1ABC68FD0E2F9B,RACP,09/09/22 12:23:00,Farm 068747,Large,1073,2008,Yes,04/21/22 08:02:00,08/03/22 14:07:00,TRUE
0711950E16EEFF6737AA9FEF2FB22AB2,RACP,09/09/22 12:23:00,Farm 015496,Large,,0,,07/11/22 11:57:00,01/01/00 00:00:00,TRUE
0713D5FC63BFA50FF1F56A7CB0BEC429,RACP,09/09/22 12:23:00,Farm 691154,Large,,0,,06/25/22 13:51:00,01/01/00 00:00:00,TRUE
07162FE5A9FA45BEBEC061A0D2E20C37,RACP,09/09/22 12:23:00,Farm 015496,Large,,0,,06/28/22 16:39:00,01/01/00 00:00:00,TRUE
0726014F437C64B112A3EBC03CC9500B,RACP,09/09/22 12:23:00,Farm 412558,Large,,0,,07/11/22 11:57:00,07/11/22 12:15:00,TRUE
0729513A55B788D2B9ED38C8CA655DD6,RACP,09/09/22 12:23:00,Farm 915927,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
072C262D14A99667B876CC36056B2342,RACP,09/09/22 12:23:00,Farm 133552,Large,,0,,07/11/22 11:57:00,07/11/22 12:15:00,TRUE
0760FDC77300364E5BE56F882ECD34C7,RACP,09/09/22 12:23:00,Farm 499995,Large,,0,,07/11/22 11:57:00,01/01/00 00:00:00,TRUE
077764C9C062883B512B0317DABE18FA,RACP,09/09/22 12:23:00,Farm 221658,Smallholder,1,0,,05/13/22 08:08:00,06/11/22 08:31:00,TRUE
077CB22EFAC04FC9EB53C4A26951F5BA,RACP,09/09/22 12:23:00,Farm 934645,Large,742,2019,Yes,04/21/22 08:02:00,05/12/22 13:21:00,TRUE
0782D9CE6AEA4B61F9B198F83D7593FD,RACP,09/09/22 12:23:00,Farm 242448,Smallholder,14,0,No,04/21/22 08:01:00,01/12/22 21:34:00,FALSE
07872F32C780FF3721A78E219DDABB31,RACP,09/09/22 12:23:00,Farm 371774,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
078BF3CCD04140B11FC3E53F9D25BF38,RACP,09/09/22 12:23:00,Farm 634800,Large,,0,,07/19/22 09:32:00,01/01/00 00:00:00,TRUE
079B86D90C625F63D0F27D624BD9C3BA,RACP,09/09/22 12:23:00,Farm 787618,Large,,0,,06/28/22 16:39:00,01/01/00 00:00:00,TRUE
07BDC9BF800BE4FDB970B8F04920DA41,RACP,09/09/22 12:23:00,Farm 248675,Smallholder,6,2018,,07/26/22 00:46:00,08/12/22 02:22:00,TRUE
07C194B3732A10BFD2ED7F652FEA46E1,RACP,09/09/22 12:23:00,Farm 935386,Smallholder,25,2021,No,04/21/22 08:01:00,04/06/22 05:04:00,FALSE
07DB4C86B727EE15238BB11EEF15700E,RACP,09/09/22 12:23:00,Farm 412246,Large,,0,,06/28/22 16:39:00,01/01/00 00:00:00,TRUE
07F586F3D96064591A206BFACCF0D80F,RACP,09/09/22 12:23:00,Farm 564764,Large,,0,,08/12/22 12:17:00,08/14/22 17:17:00,TRUE
