dim_license_id,dim_source,dim_load_date,license_id,certificationoption,gmr_download_status,date_requirements_viewed,date_selfassessment_uploaded,date_gmr_uploaded,contract_sign_status,date_contract_signed,license_type,license_status,license_standard,start_date_license,end_date_license,original_end_date,legalagreementchecked,scheme_owner,license_year
233B0A56D73BE5CE0C63B57897236B63,RACP,09/08/22 07:47:00,RALI22-15866463,Group Of Mixed Farms,,8/15/2022,,,,,,,,,,,,RA,
23E47A260E49FC6895B7015F297E2447,RACP,09/08/22 07:47:00,RALI21-16164539,Multi Farm,Validated,12/10/2021,2/8/2022,4/14/2022,CHWaitingForCB,1/1/1900,CB License,Expired,Farming,7/1/2021,7/1/2022,,TRUE,RA,
24D41B472553D3DA6264806CD7DA5B0D,RACP,09/08/22 07:47:00,RALI21-16586100,Group Of Small Farms,Downloaded by GIS member,11/12/2021,2/7/2022,2/7/2022,BothConfirmed,8/18/2021,CB License,Granted,Farming & Supply Chain,8/1/2021,11/1/2022,,TRUE,RA,Transition year 1
25980CDC3A84892A12C669BD7FFC5E41,RACP,09/08/22 07:47:00,RALI21-16930808,Multi Farm,Validated,8/1/2022,2/15/2022,11/4/2021,BothConfirmed,7/25/2019,CB License,Granted,Farming,2/21/2022,2/21/2023,,TRUE,RA,Transition year 1
26CF3DF57C6028D0DC84DC1F91BE0326,RACP,09/08/22 07:47:00,RALI22-17478262,Group Of Small Farms,,8/31/2022,,,CHWaitingForCB,1/1/1900,,,,,,,,RA,
26ED4D23A88767B9A10592CBD0551E2A,RACP,09/08/22 07:47:00,RALI21-17531143,,Validated,1/25/2022,4/28/2022,2/15/2022,BothConfirmed,7/26/2019,,,,,,,,RA,
277C7B722EE82C50AA32636DD5951A8C,RACP,09/08/22 07:47:00,RALI22-17783029,Group Of Mixed Farms,,8/12/2022,,,,,,,,,,,,RA,
29A1BCAD5DB693B748CD9E5F7DE26591,RACP,09/08/22 07:47:00,RALI22-18749289,Group Of Small Farms,,7/29/2022,,,,,,,,,,,,RA,
29CAA0819AF2AE0FD73F32728469CF20,RACP,09/08/22 07:47:00,RALI21-18821223,Group Of Mixed Farms,Downloaded by GIS member,11/22/2021,11/15/2021,11/15/2021,BothConfirmed,9/6/2021,CB License,Granted,Farming,11/15/2021,11/15/2022,,TRUE,RA,
2B1D26BDD8E27AECA1596CD549FEC2BE,RACP,09/08/22 07:47:00,RALI22-19416761,Multi Farm,Validated,7/11/2022,,7/21/2022,,,,,,,,,,RA,
2BF2C30853D3CD451E2615FD97BD18BC,RACP,09/08/22 07:47:00,RALI22-19792549,Multi Site,,8/17/2022,,,,,,,,,,,,RA,
2C2766AF881DB7F771A83C74E19E6E00,RACP,09/08/22 07:47:00,RALI22-19885153,,Pending For CH Action,8/31/2022,7/18/2022,7/18/2022,BothConfirmed,4/19/2022,Dummy,Granted,Farming,9/2/2022,12/2/2022,,TRUE,RA,Transition year 2
2DCE65A227D471AFDF2147286D57FAE8,RACP,09/08/22 07:47:00,RALI22-20629295,Single Site,,8/12/2022,,,,,,,,,,,,RA,
2EBEBD7A935DDC623AF48F1DDEABBAC8,RACP,09/08/22 07:47:00,RALI22-21052111,Single Site,,4/14/2022,6/17/2022,,CHWaitingForCB,1/1/1900,,,,,,,,RA,
2EF41556064CC06DB7021057A0FF1FED,RACP,09/08/22 07:47:00,RALI21-21145954,Group Of Small Farms,Validated,12/17/2021,7/30/2021,8/23/2021,,,CB License,Granted,Farming & Supply Chain,11/19/2021,11/19/2022,,TRUE,RA,Transition year 1
300A308950181A408EB592BA4225F145,RACP,09/08/22 07:47:00,RALI22-21635203,,,,,,,,,,,,,,,RA,
30308C93E918582D5ABE2279E40A14AF,RACP,09/08/22 07:47:00,RALI21-21702686,Single Site,,9/6/2022,,,,,,,,,,,,RA,
344A6BE6328651506E06BB587F35DEDA,RACP,09/08/22 07:47:00,RALI22-23549641,Group Of Small Farms,Validated,7/29/2022,7/29/2022,8/17/2022,CHWaitingForCB,1/1/1900,,,,,,,,RA,
34913F7F86EBA5322946333D9CBAEC41,RACP,09/08/22 07:47:00,RALI21-23674241,Group Of Small Farms,Validated,3/18/2022,3/18/2022,4/1/2022,,,CB License,Granted,Farming,1/18/2022,1/18/2023,,TRUE,RA,Transition year 1
363000E8AFD550ED0628BE1F3E5E89D7,RACP,09/08/22 07:47:00,RALI22-24403886,Group Of Mixed Farms,,8/10/2022,8/10/2022,,CHWaitingForCB,1/1/1900,CB License,Granted,Farming,7/2/2022,7/1/2023,,TRUE,RA,Transition year 2
393157C757D23A4E67F95E920A4B20F1,RACP,09/08/22 07:47:00,RALI21-25757322,Single Farm,,9/2/2021,,,BothConfirmed,3/29/2022,CB License,Granted,Farming,12/19/2021,12/19/2022,,TRUE,RA,
39944900691A4284B0261E1FE50D3216,RACP,09/08/22 07:47:00,RALI22-25931383,,,,,,,,,,,,,,,RA,
39F0BE9F635A5FC3B695A6A2D54A71A6,RACP,09/08/22 07:47:00,RALI21-26094040,Multi Site,,3/29/2022,,,BothConfirmed,7/1/2022,Dummy,Granted,Supply Chain,7/1/2021,12/31/2022,,TRUE,RA,
3ADDDE6D576C959EEF5D2F1889078567,RACP,09/08/22 07:47:00,RALI22-26511193,,,,,,,,,,,,,,,RA,
3DA385DB41B5C926164DAF14388587FB,RACP,09/08/22 07:47:00,RALI22-27759630,Multi Site,,6/14/2022,6/22/2022,,CHWaitingForCB,1/1/1900,Dummy,Expired,Supply Chain,7/1/2021,6/24/2022,,TRUE,RA,Full certification 1
3F545C91329589338900D59FB3B0F420,RACP,09/08/22 07:47:00,RALI22-28521088,Single Site,,3/30/2022,4/1/2022,,,,,,,,,,,RA,
3FC8AAAE9D8F5E1787BDBE7760514E63,RACP,09/08/22 07:47:00,RALI21-28725694,Group Of Small Farms,Validated,3/9/2022,3/16/2022,4/19/2022,,,,,,,,,,RA,
40B8C60C980A8745401238BD98E33827,RACP,09/08/22 07:47:00,RALI21-29148094,Multi Farm,,8/8/2022,8/8/2022,,BothConfirmed,8/9/2021,CB License,Draft,Farming,6/6/2022,6/6/2023,,FALSE,RA,Transition year 2
4478A51F6BC2763C1E6A28796E6E5EE8,RACP,09/08/22 07:47:00,RALI21-30836718,Group Of Small Farms,Validated,6/27/2022,6/30/2022,7/18/2022,,,,,,,,,,RA,
4517596863E2E3909BE0B065011B50F4,RACP,09/08/22 07:47:00,RALI22-31115913,,,2/3/2022,,,,,,,,,,,,RA,
45B8C171DA30E91EE5C5A833A62EB5D7,RACP,09/08/22 07:47:00,RALI21-31399862,Multi Site,,1/27/2022,8/25/2022,,CHWaitingForCB,1/1/1900,Dummy,Granted,Supply Chain,7/1/2021,11/5/2022,,TRUE,RA,
498128F53F4C174D96DC342123964019,RACP,09/08/22 07:47:00,RALI22-33103497,,,,,,,,,,,,,,,RA,
4AE4F267B3A33ED8DED6244B814464EE,RACP,09/08/22 07:47:00,RALI21-33729404,Group Of Small Farms,Validated,8/20/2022,6/25/2022,8/20/2022,,,CB License,Granted,Farming,12/1/2021,12/1/2022,,TRUE,RA,Transition year 1
4B059008815D2C5ED50787AB84B5416E,RACP,09/08/22 07:47:00,RALI21-33786783,Multi Farm,Validated,3/1/2022,3/1/2022,3/10/2022,BothConfirmed,12/17/2021,CB License,Granted,Farming,5/6/2022,5/6/2023,,TRUE,RA,Transition year 1
4B58BE4AA1045D00450C8A9A4C4D9759,RACP,09/08/22 07:47:00,RALI22-33933116,Multi Site,,9/7/2022,,,,,,,,,,,,RA,
4B6D28EF46ABB598A13A6E802B985061,RACP,09/08/22 07:47:00,RALI22-33969033,,,,,,,,,,,,,,,RA,
4C9BBAAC53DAF20C8C3D895CB47F49B2,RACP,09/08/22 07:47:00,RALI22-34501318,Multi Site,,5/24/2022,,,,,,,,,,,,RA,
4F6DA8A0E70C09E601EEF1941A13FDF6,RACP,09/08/22 07:47:00,RALI22-35771350,Single Site,,3/17/2022,7/5/2022,,BothConfirmed,7/7/2022,,,,,,,,RA,
4F807AB8462C6BEE762D91354955B99D,RACP,09/08/22 07:47:00,RALI21-35804460,Multi Farm,,1/28/2022,4/6/2022,,BothConfirmed,11/21/2021,CB License,Granted,Farming & Supply Chain,2/15/2022,2/15/2023,,TRUE,RA,
4FDAEA4EBBEB019CD43B870C3B5E9EAF,RACP,09/08/22 07:47:00,RALI21-35963556,Single Site,,9/19/2021,,,,,,,,,,,,RA,
50689CF941774D5ECD31B53018FE2A9C,RACP,09/08/22 07:47:00,RALI22-36212834,,,,,,,,,,,,,,,RA,
5188B878017798D57DDCC06449077CE1,RACP,09/08/22 07:47:00,RALI21-36719678,Group Of Mixed Farms,Validated,12/19/2021,12/23/2021,12/22/2021,,,CB License,Granted,Farming,1/26/2022,1/26/2023,,TRUE,RA,
522CEFDF5688E8139BB035188C2FD07F,RACP,09/08/22 07:47:00,RALI22-37008570,,,,,,,,,,,,,,,RA,
5549F2C16074507CC8EA5407E87B9438,RACP,09/08/22 07:47:00,RALI21-38410687,Group Of Small Farms,,5/18/2022,5/19/2022,,CHWaitingForCB,1/1/1900,,,,,,,,RA,
558CBBDBD8CEAC8F0FDACC96518E05E3,RACP,09/08/22 07:47:00,RALI21-38528178,Multi Site,,3/23/2022,,,,,,,,,,,,RA,
55B8C7E54271B5CF2ED215E78A9918F2,RACP,09/08/22 07:47:00,RALI21-38605666,Single Site,,11/8/2021,,,,,,,,,,,,RA,
5607903B7A8EEFF1177E28DEA9FDBDB3,RACP,09/08/22 07:47:00,RALI22-38744262,Group Of Small Farms,,6/28/2022,,,,,,,,,,,,RA,
5702CCE9A6E865C268BBDCD929EAD731,RACP,09/08/22 07:47:00,RALI21-39186243,Multi Farm,,11/15/2021,9/29/2021,,BothConfirmed,12/3/2021,CB License,Granted,Farming & Supply Chain,12/29/2021,12/29/2022,,TRUE,RA,Transition year 1
5799163E604025D03544F5A4742A4D44,RACP,09/08/22 07:47:00,RALI21-39450630,Multi Farm,Downloaded by GIS member,5/12/2022,1/18/2022,1/18/2022,BothConfirmed,11/26/2021,CB License,Granted,Farming & Supply Chain,11/22/2021,11/22/2022,,TRUE,RA,Transition year 1
582169EFDC24AFF36479616960AA8872,RACP,09/08/22 07:47:00,RALI22-39690458,,,,,,,,Dummy,Granted,Farming,1/13/2022,12/1/2022,,TRUE,RA,
582BF03EF767E0F71348251D378722C4,RACP,09/08/22 07:47:00,RALI22-39708974,,,,,,,,,,,,,,,RA,
593FA39EF69F3A0B30F889AA174E7617,RACP,09/08/22 07:47:00,RALI21-40193991,Group Of Small Farms,Validated,4/28/2022,2/22/2022,4/19/2022,CHWaitingForCB,1/1/1900,CB License,Granted,Farming,4/1/2022,4/1/2023,,TRUE,RA,Transition year 2
5977BD0E6F0C7C50D5CDE6820EC98855,RACP,09/08/22 07:47:00,RALI21-40292682,Multi Site,,6/9/2022,,,,,Dummy,Expired,Supply Chain,7/1/2021,6/23/2022,,TRUE,RA,Full certification 1
59B58D6CE2A7990472F70318BB080A8D,RACP,09/08/22 07:47:00,RALI21-40401427,,,,,,,,,,,,,,,RA,
5AF985F6AB082A644E5A73D0E2550285,RACP,09/08/22 07:47:00,RALI22-40971362,Group Of Small Farms,Validated,7/15/2022,7/15/2022,7/12/2022,CHWaitingForCB,1/1/1900,CB License,Granted,Farming,5/1/2022,5/1/2023,,TRUE,RA,Transition year 1
5BF828C0CE7C96C671B3AEADCFB3EB45,RACP,09/08/22 07:47:00,RALI22-41419322,Multi Site,,5/17/2022,,,,,,,,,,,,RA,
5CA0783554A215C453DCF7003BF00C74,RACP,09/08/22 07:47:00,RALI22-41715417,Group Of Mixed Farms,Validated,2/26/2022,,3/11/2022,,,,,,,,,,RA,
5DD5B0EBB6E2D265482F0958E8509AB9,RACP,09/08/22 07:47:00,RALI21-42259405,,,,,,,,,,,,,,,RA,
5DD5F7C6B1E65A87019FE32A8A5AFD8C,RACP,09/08/22 07:47:00,RALI21-42259892,Group Of Mixed Farms,Validated,5/23/2022,5/25/2022,3/13/2022,CHWaitingForCB,1/1/1900,CB License,Granted,Farming,12/15/2021,12/15/2022,,TRUE,RA,Transition year 1
5E2CFE16ECE88CC14CF63E74CBCA9764,RACP,09/08/22 07:47:00,RALI21-42412988,Single Site,,2/24/2022,,,,,,,,,,,,RA,
60C5E962F77D1B73B78DFA7FF8E4A995,RACP,09/08/22 07:47:00,RALI21-43582726,,,,,,,,,,,,,,,RA,
60DF9FF52C30683DC1BC440EE6D5D3A6,RACP,09/08/22 07:47:00,RALI21-43627961,Single Farm,,12/25/2021,11/21/2021,,,,CB License,Granted,Farming & Supply Chain,1/31/2022,1/31/2023,,TRUE,RA,
622606A728F9A6CC0C94DFF8E9B4FFFE,RACP,09/08/22 07:47:00,RALI22-44202172,Group Of Mixed Farms,Ready For Validation,9/7/2022,9/7/2022,9/1/2022,CHWaitingForCB,1/1/1900,,,,,,,,RA,
6238390EA7C1E6F6E9F53FA4E51FA6CC,RACP,09/08/22 07:47:00,RALI22-44234184,,,,,,,,,,,,,,,RA,
62713D85AF79002B57F009556D91D419,RACP,09/08/22 07:47:00,RALI22-44334490,,,,,,,,,,,,,,,RA,
64747E42C2E08CEED09B26CF90CF1270,RACP,09/08/22 07:47:00,RALI22-45240933,Single Site,,4/5/2022,4/18/2022,,,,,,,,,,,RA,
6544BF6E87FFC081C7C3A6B5912172DB,RACP,09/08/22 07:47:00,RALI22-45607298,,,,,,,,,,,,,,,RA,
65D1D76B192840A9EA17FEC494459826,RACP,09/08/22 07:47:00,RALI22-45855513,Group Of Small Farms,,9/7/2022,,,,,,,,,,,,RA,
6690D8348695B393614C0940C3E4DAC6,RACP,09/08/22 07:47:00,RALI21-46191529,Multi Site,,8/9/2022,9/7/2022,,,,,,,,,,,RA,
676CB2A693AC7590CE6A7F3FD02277CF,RACP,09/08/22 07:47:00,RALI21-46578299,Group Of Small Farms,Validated,7/18/2022,7/18/2022,7/25/2022,BothConfirmed,10/20/2021,CB License,Granted,Farming,6/10/2022,6/10/2023,,TRUE,RA,Transition year 1
6779D9560124180B844F554C972A1C37,RACP,09/08/22 07:47:00,RALI22-46601435,,Validated,8/5/2022,8/6/2022,8/6/2022,CHWaitingForCB,1/1/1900,,,,,,,,RA,
686F556E3CA31115E11EDEE0D0A144CA,RACP,09/08/22 07:47:00,RALI21-47033296,Group Of Small Farms,Downloaded by GIS member,6/23/2022,6/23/2022,1/7/2022,BothConfirmed,1/12/2022,CB License,Granted,Farming,1/1/2022,1/1/2023,,TRUE,RA,Transition year 1
6895CD6329BE0BFF4696441554CA35B1,RACP,09/08/22 07:47:00,RALI21-47100971,Single Site,,7/26/2022,6/30/2022,,CHWaitingForCB,1/1/1900,,,,,,,,RA,
6905C03FEFB7F4E1F0A72FB62DE0EBB4,RACP,09/08/22 07:47:00,RALI22-47297913,,,,,,,,,,,,,,,RA,
6929F465DDBAB889D5F2C5A89DA55114,RACP,09/08/22 07:47:00,RALI22-47361603,Multi Site,,5/23/2022,,,,,,,,,,,,RA,
6937474BFFDD4E76BC841D58A3E746DF,RACP,09/08/22 07:47:00,RALI22-47385043,Single Site,,5/20/2022,7/13/2022,,,,,,,,,,,RA,
6AE8AB0157C5DF9AB46D4C0306261339,RACP,09/08/22 07:47:00,RALI21-48147469,,Validated,12/14/2021,12/14/2021,4/12/2022,CBWaitingForCH,7/1/2021,CB License,Granted,Farming,10/12/2021,10/12/2022,,TRUE,RA,Transition year 1
6BC6C9A80817965B0C52AC8CC1F4466B,RACP,09/08/22 07:47:00,RALI21-48538227,Multi Farm,,1/25/2022,,,BothConfirmed,9/27/2021,,,,,,,,RA,
6BD866C7ED3FD6D391FCB42AFBDC27C9,RACP,09/08/22 07:47:00,RALI21-48569213,Multi Site,,6/1/2022,3/23/2022,,BothConfirmed,5/10/2021,CB License,Granted,Supply Chain,1/28/2022,1/28/2023,,TRUE,RA,Full certification 1
6BF6EA15C888E1FA40373E1CA0EC4AE9,RACP,09/08/22 07:47:00,RALI22-48622892,,,,,,,,,,,,,,,RA,
6D9507E3A08949135F0E3DCC5B519EC1,RACP,09/08/22 07:47:00,RALI22-49351413,,,,,,,,,,,,,,,RA,
7037E31C059B687D392F545CC554C5A0,RACP,09/08/22 07:47:00,RALI21-50538633,Multi Farm,Validated,9/3/2022,11/26/2021,11/26/2021,BothConfirmed,7/1/2021,CB License,Granted,Farming,1/24/2022,1/24/2023,,TRUE,RA,Transition year 1
719122EE8E48E7B22792E6E56AD4D337,RACP,09/08/22 07:47:00,RALI21-51146002,Multi Site,,6/22/2022,6/22/2022,,BothConfirmed,2/24/2022,CB License,Granted,Supply Chain,3/17/2022,3/17/2023,,TRUE,RA,Transition year 1
72391C94078BC7FD5B80356A8E607903,RACP,09/08/22 07:47:00,RALI21-51441507,Group Of Small Farms,,5/5/2022,5/6/2022,,BothConfirmed,5/26/2022,,,,,,,,RA,
723B707C1E934B9BE228754482C4F9D7,RACP,09/08/22 07:47:00,RALI21-51445602,Multi Farm,Downloaded by GIS member,11/26/2021,1/25/2022,1/28/2022,BothConfirmed,11/6/2021,CB License,Granted,Farming,11/29/2021,11/29/2022,,TRUE,RA,Transition year 1
748C7F5073D3768A6D0A6E2A99AF3D1B,RACP,09/08/22 07:47:00,RALI22-52488921,,,,,,,,,,,,,,,RA,
74A51144DF4F84AEF5E35D102B1C48F9,RACP,09/08/22 07:47:00,RALI22-52532145,,,,,,,,,,,,,,,RA,
76EA3673A90CE89AD7C70E5B3348222D,RACP,09/08/22 07:47:00,RALI21-53554506,Single Site,,12/2/2021,,,,,,,,,,,,RA,
7707B638F250DFB26501F1FE3E16FF5B,RACP,09/08/22 07:47:00,RALI21-53606402,Multi Farm,,6/14/2022,6/14/2022,,BothConfirmed,12/21/2021,CB License,Granted,Farming,10/1/2021,10/6/2022,,TRUE,RA,Transition year 2
779E20FD553BD964F13E4DE83B52288E,RACP,09/08/22 07:47:00,RALI21-53871018,Multi Farm,,12/28/2021,12/28/2021,,BothConfirmed,9/16/2021,CB License,Granted,Farming,11/1/2021,10/31/2022,,TRUE,RA,
77A31296FFBDFEE7900F64FCD597C4B6,RACP,09/08/22 07:47:00,RALI22-53879715,Single Site,,6/13/2022,,,CHWaitingForCB,1/1/1900,,,,,,,,RA,
77B3DD425DC6015A5971C813DECE8E5F,RACP,09/08/22 07:47:00,RALI22-53909256,Single Site,,5/16/2022,5/18/2022,,,,,,,,,,,RA,
782FF18B69339B3CE3A106FE5D4AA438,RACP,09/08/22 07:47:00,RALI22-54127538,Single Site,,3/25/2022,5/18/2022,,,,Endorsement License,Granted,Supply Chain,3/21/2022,6/21/2023,,TRUE,RA,Transition year 1
7913BFD9AA6A93E1AE59747E0384239D,RACP,09/08/22 07:47:00,RALI21-54528299,Multi Farm,,1/6/2022,11/27/2021,,,,CB License,Granted,Farming,2/1/2022,2/1/2023,,TRUE,RA,
7915E41484E6C0DF1849B727671ADA40,RACP,09/08/22 07:47:00,RALI21-54532066,Single Site,,3/14/2022,3/24/2022,,,,Endorsement License,Granted,Supply Chain,2/26/2022,5/26/2023,,TRUE,RA,Transition year 1
79442530FBB31775E99E66F5D5BAB232,RACP,09/08/22 07:47:00,RALI21-54613437,Group Of Small Farms,Validated,9/5/2022,7/6/2022,6/28/2022,CHWaitingForCB,1/1/1900,Dummy,Granted,Farming,6/28/2022,9/28/2022,,TRUE,RA,Transition year 2
7AC98FF46991B5BB82E7F132BF9DD9B0,RACP,09/08/22 07:47:00,RALI22-55298507,Group Of Mixed Farms,,8/14/2022,,,,,,,,,,,,RA,
7C1A775340B909632D9930B9FB8C336F,RACP,09/08/22 07:47:00,RALI22-55891195,Group Of Mixed Farms,,8/25/2022,,,,,,,,,,,,RA,
7C769998C1F216628F42CFEA19DD0386,RACP,09/08/22 07:47:00,RALI22-56053278,Single Site,,7/29/2022,8/26/2022,,,,,,,,,,,RA,
7CFD4BA43F8E25904DE6D27F61AB8DF5,RACP,09/08/22 07:47:00,RALI22-56290237,Group Of Mixed Farms,,5/4/2022,,,,,,,,,,,,RA,
7DAC66BCD80E5E94D18676226978FAE2,RACP,09/08/22 07:47:00,RALI21-56598286,Group Of Small Farms,Downloaded by GIS member,4/6/2022,3/23/2022,3/23/2022,BothConfirmed,3/23/2022,CB License,Granted,Farming & Supply Chain,12/20/2021,12/20/2022,,TRUE,RA,Transition year 1
7DF9ABCC964E2591DD8B910AC2CEBB6B,RACP,09/08/22 07:47:00,RALI21-56734221,,,,,,,,,,,,,,,RA,
